Estacion,Nombre_Estacion,Año,Mes_Num,Mes,Dias_Esperados,Dias_Con_Datos,Pct_Completitud,Estado
91001,SIEYIK,2010,1,Enero,31,31,100.0,Completo
91001,SIEYIK,2010,2,Febrero,28,28,100.0,Completo
91001,SIEYIK,2010,3,Marzo,31,31,100.0,Completo
91001,SIEYIK,2010,4,Abril,30,30,100.0,Completo
91001,SIEYIK,2010,5,Mayo,31,31,100.0,Completo
91001,SIEYIK,2010,6,Junio,30,30,100.0,Completo
91001,SIEYIK,2010,7,Julio,31,31,100.0,Completo
91001,SIEYIK,2010,8,Agosto,31,31,100.0,Completo
91001,SIEYIK,2010,9,Septiembre,30,30,100.0,Completo
91001,SIEYIK,2010,10,Octubre,31,1,3.2,Pendiente
91001,SIEYIK,2010,11,Noviembre,30,2,6.7,Pendiente
91001,SIEYIK,2010,12,Diciembre,31,1,3.2,Pendiente
91001,SIEYIK,2011,1,Enero,31,4,12.9,Pendiente
91001,SIEYIK,2011,2,Febrero,28,0,0.0,Pendiente
91001,SIEYIK,2011,4,Abril,30,0,0.0,Pendiente
91001,SIEYIK,2011,8,Agosto,31,1,3.2,Pendiente
91001,SIEYIK,2011,10,Octubre,31,0,0.0,Pendiente
91001,SIEYIK,2011,12,Diciembre,31,0,0.0,Pendiente
91001,SIEYIK,2012,1,Enero,31,19,61.3,Incompleto
91001,SIEYIK,2012,4,Abril,30,1,3.3,Pendiente
91001,SIEYIK,2012,7,Julio,31,1,3.2,Pendiente
91001,SIEYIK,2012,8,Agosto,31,1,3.2,Pendiente
91001,SIEYIK,2012,9,Septiembre,30,0,0.0,Pendiente
91001,SIEYIK,2012,10,Octubre,31,0,0.0,Pendiente
91001,SIEYIK,2012,11,Noviembre,30,0,0.0,Pendiente
91001,SIEYIK,2012,12,Diciembre,31,0,0.0,Pendiente
91001,SIEYIK,2013,3,Marzo,31,3,9.7,Pendiente
91001,SIEYIK,2013,4,Abril,30,1,3.3,Pendiente
91001,SIEYIK,2013,5,Mayo,31,0,0.0,Pendiente
91001,SIEYIK,2014,2,Febrero,28,10,35.7,Pendiente
91001,SIEYIK,2014,3,Marzo,31,0,0.0,Pendiente
91001,SIEYIK,2014,4,Abril,30,0,0.0,Pendiente
91001,SIEYIK,2014,5,Mayo,31,1,3.2,Pendiente
91001,SIEYIK,2015,2,Febrero,28,31,110.7,Completo
91001,SIEYIK,2015,3,Marzo,31,29,93.5,Incompleto
91001,SIEYIK,2015,4,Abril,30,31,103.3,Completo
91001,SIEYIK,2015,5,Mayo,31,18,58.1,Incompleto
91001,SIEYIK,2015,6,Junio,30,23,76.7,Incompleto
91001,SIEYIK,2015,7,Julio,31,27,87.1,Incompleto
91001,SIEYIK,2015,8,Agosto,31,30,96.8,Incompleto
91001,SIEYIK,2015,9,Septiembre,30,20,66.7,Incompleto
91001,SIEYIK,2015,10,Octubre,31,8,25.8,Pendiente
91001,SIEYIK,2015,11,Noviembre,30,0,0.0,Pendiente
91001,SIEYIK,2016,1,Enero,31,31,100.0,Completo
91001,SIEYIK,2016,5,Mayo,31,27,87.1,Incompleto
91001,SIEYIK,2016,6,Junio,30,40,133.3,Completo
91001,SIEYIK,2016,7,Julio,31,37,119.4,Completo
91001,SIEYIK,2016,8,Agosto,31,3,9.7,Pendiente
91001,SIEYIK,2016,9,Septiembre,30,3,10.0,Pendiente
91001,SIEYIK,2016,10,Octubre,31,2,6.5,Pendiente
91001,SIEYIK,2016,11,Noviembre,30,1,3.3,Pendiente
91001,SIEYIK,2016,12,Diciembre,31,0,0.0,Pendiente
91001,SIEYIK,2017,1,Enero,31,31,100.0,Completo
91001,SIEYIK,2017,4,Abril,30,29,96.7,Incompleto
91001,SIEYIK,2017,5,Mayo,31,30,96.8,Incompleto
91001,SIEYIK,2017,6,Junio,30,31,103.3,Completo
91001,SIEYIK,2017,7,Julio,31,30,96.8,Incompleto
91001,SIEYIK,2017,8,Agosto,31,15,48.4,Pendiente
91001,SIEYIK,2017,9,Septiembre,30,1,3.3,Pendiente
91001,SIEYIK,2017,10,Octubre,31,0,0.0,Pendiente
91001,SIEYIK,2017,12,Diciembre,31,0,0.0,Pendiente
91001,SIEYIK,2018,1,Enero,31,31,100.0,Completo
91001,SIEYIK,2018,2,Febrero,28,28,100.0,Completo
91001,SIEYIK,2018,3,Marzo,31,9,29.0,Pendiente
91001,SIEYIK,2018,4,Abril,30,30,100.0,Completo
91001,SIEYIK,2018,5,Mayo,31,31,100.0,Completo
91001,SIEYIK,2018,6,Junio,30,30,100.0,Completo
91001,SIEYIK,2018,7,Julio,31,31,100.0,Completo
91001,SIEYIK,2018,8,Agosto,31,31,100.0,Completo
91001,SIEYIK,2018,9,Septiembre,30,30,100.0,Completo
91001,SIEYIK,2018,10,Octubre,31,31,100.0,Completo
91001,SIEYIK,2018,11,Noviembre,30,30,100.0,Completo
91001,SIEYIK,2018,12,Diciembre,31,31,100.0,Completo
91001,SIEYIK,2019,1,Enero,31,31,100.0,Completo
91001,SIEYIK,2019,2,Febrero,28,28,100.0,Completo
91001,SIEYIK,2019,3,Marzo,31,23,74.2,Incompleto
91001,SIEYIK,2019,4,Abril,30,29,96.7,Incompleto
91001,SIEYIK,2019,5,Mayo,31,31,100.0,Completo
91001,SIEYIK,2019,6,Junio,30,30,100.0,Completo
91001,SIEYIK,2019,7,Julio,31,31,100.0,Completo
91001,SIEYIK,2019,8,Agosto,31,31,100.0,Completo
91001,SIEYIK,2019,9,Septiembre,30,30,100.0,Completo
91001,SIEYIK,2019,10,Octubre,31,31,100.0,Completo
91001,SIEYIK,2019,11,Noviembre,30,30,100.0,Completo
91001,SIEYIK,2019,12,Diciembre,31,31,100.0,Completo
91001,SIEYIK,2020,1,Enero,31,31,100.0,Completo
91001,SIEYIK,2020,2,Febrero,29,29,100.0,Completo
91001,SIEYIK,2020,3,Marzo,31,31,100.0,Completo
91001,SIEYIK,2020,4,Abril,30,30,100.0,Completo
91001,SIEYIK,2020,5,Mayo,31,31,100.0,Completo
91001,SIEYIK,2020,6,Junio,30,30,100.0,Completo
91001,SIEYIK,2020,7,Julio,31,31,100.0,Completo
91001,SIEYIK,2020,8,Agosto,31,31,100.0,Completo
91001,SIEYIK,2020,9,Septiembre,30,30,100.0,Completo
91001,SIEYIK,2020,10,Octubre,31,31,100.0,Completo
91001,SIEYIK,2020,11,Noviembre,30,30,100.0,Completo
91001,SIEYIK,2020,12,Diciembre,31,30,96.8,Incompleto
91001,SIEYIK,2021,1,Enero,31,31,100.0,Completo
91001,SIEYIK,2021,2,Febrero,28,27,96.4,Incompleto
91001,SIEYIK,2021,3,Marzo,31,31,100.0,Completo
91001,SIEYIK,2021,4,Abril,30,29,96.7,Incompleto
91001,SIEYIK,2021,5,Mayo,31,31,100.0,Completo
91001,SIEYIK,2021,6,Junio,30,30,100.0,Completo
91001,SIEYIK,2021,7,Julio,31,8,25.8,Pendiente
91001,SIEYIK,2021,8,Agosto,31,31,100.0,Completo
91001,SIEYIK,2021,9,Septiembre,30,30,100.0,Completo
91001,SIEYIK,2021,10,Octubre,31,30,96.8,Incompleto
91001,SIEYIK,2021,11,Noviembre,30,30,100.0,Completo
91001,SIEYIK,2021,12,Diciembre,31,31,100.0,Completo
91001,SIEYIK,2022,1,Enero,31,31,100.0,Completo
91001,SIEYIK,2022,2,Febrero,28,28,100.0,Completo
91001,SIEYIK,2022,3,Marzo,31,28,90.3,Incompleto
91001,SIEYIK,2022,4,Abril,30,24,80.0,Incompleto
91001,SIEYIK,2022,5,Mayo,31,23,74.2,Incompleto
91001,SIEYIK,2022,6,Junio,30,22,73.3,Incompleto
91001,SIEYIK,2022,7,Julio,31,24,77.4,Incompleto
91001,SIEYIK,2022,8,Agosto,31,31,100.0,Completo
91001,SIEYIK,2022,9,Septiembre,30,30,100.0,Completo
91001,SIEYIK,2022,10,Octubre,31,30,96.8,Incompleto
