Latitud,Longitud,Codigo de estacion,Nombre de estacion,Tipo de archivo,Achivo fisico y localizable,Variable,Medicion,Año con datos digitales,Formato de archivo,Contador de archivos digitales,Cantidad de datos por archivo,Datos obtenidos,Año con nombre ,Meses en tablas (csv o excel),Inventario fisico (localizacion),,
9.389618966,-82.65096554,91001,Sieyik,Libreta pluviometrica ,2005,Lluvia,Discreta ,2005,PDF,1,7,7,2005,Pendiente,DC_archivador293-02,,
9.389618966,-82.65096554,91001,Sieyik,Libreta pluviometrica ,2006,Lluvia,Discreta ,2006,PDF,1,7,7,2006,Pendiente,DC_archivador293-02,,
9.389618966,-82.65096554,91001,Sieyik,Libreta pluviometrica ,2007,Lluvia,Discreta ,2007,PDF,37,7,259,2007,Pendiente,DC_archivador293-02,,
9.389618966,-82.65096554,91001,Sieyik,Libreta pluviometrica ,2008,Lluvia,Discreta ,2008,PDF,23,7,161,2008,Pendiente,DC_archivador293-02,,
9.389618966,-82.65096554,91001,Sieyik,Libreta pluviometrica ,2009,Lluvia,Discreta ,2009,PDF,32,7,224,2009,Pendiente,DC_archivador293-02,,
9.389618966,-82.65096554,91001,Sieyik,Libreta pluviometrica ,2010,Lluvia,Discreta ,2010,PDF,27,7,189,2010,Pendiente,DC_archivador293-02,,
9.389618966,-82.65096554,91001,Sieyik,Libreta pluviometrica ,2011,Lluvia,Discreta ,2011,PDF,32,7,224,2011,Pendiente,DC_archivador293-02,,
9.389618966,-82.65096554,91001,Sieyik,Libreta pluviometrica ,2012,Lluvia,Discreta ,2012,PDF,28,7,196,2012,Pendiente,DC_archivador293-02,,
9.389618966,-82.65096554,91001,Sieyik,Libreta pluviometrica ,2013,Lluvia,Discreta ,2013,PDF,29,7,203,2013,Pendiente,DC_archivador293-02,,
9.389618966,-82.65096554,91001,Sieyik,Libreta pluviometrica ,2014,Lluvia,Discreta ,2014,PDF,42,7,294,2014,Pendiente,DC_archivador293-02,,
